Week,Football: (United States)
2019-10-06,97
2019-10-13,100
2019-10-20,95
2019-10-27,90
2019-11-03,97
2019-11-10,95
2019-11-17,87
2019-11-24,100
2019-12-01,76
2019-12-08,60
2019-12-15,43
2019-12-22,58
2019-12-29,71
2020-01-05,30
2020-01-12,42
2020-01-19,22
2020-01-26,16
2020-02-02,22
2020-02-09,13
2020-02-16,12
2020-02-23,11
2020-03-01,11
2020-03-08,9
2020-03-15,8
2020-03-22,8
2020-03-29,9
2020-04-05,9
2020-04-12,9
2020-04-19,12
2020-04-26,11
2020-05-03,10
2020-05-10,10
2020-05-17,10
2020-05-24,10
2020-05-31,9
2020-06-07,10
2020-06-14,10
2020-06-21,10
2020-06-28,10
2020-07-05,11
2020-07-12,13
2020-07-19,13
2020-07-26,14
2020-08-02,15
2020-08-09,21
2020-08-16,18
2020-08-23,20
2020-08-30,32
2020-09-06,52
2020-09-13,55
2020-09-20,56
2020-09-27,58
2020-10-04,59
2020-10-11,59
2020-10-18,69
2020-10-25,61
2020-11-01,51
2020-11-08,59
2020-11-15,57
2020-11-22,69
2020-11-29,53
2020-12-06,55
2020-12-13,56
2020-12-20,53
2020-12-27,69
2021-01-03,31
2021-01-10,38
2021-01-17,22
2021-01-24,21
2021-01-31,17
2021-02-07,17
2021-02-14,12
2021-02-21,14
2021-02-28,13
2021-03-07,13
2021-03-14,13
2021-03-21,12
2021-03-28,12
