Category: All categories

Week,Covid: (United States),corona: (United States),coronavirus: (United States),Football: (United States)
2018-05-06,<1,<1,<1,2
2018-05-13,0,<1,<1,2
2018-05-20,<1,<1,<1,2
2018-05-27,<1,<1,<1,2
2018-06-03,<1,<1,<1,2
2018-06-10,<1,<1,<1,3
2018-06-17,<1,<1,<1,3
2018-06-24,<1,<1,<1,3
2018-07-01,<1,<1,<1,3
2018-07-08,<1,<1,<1,3
2018-07-15,<1,<1,<1,3
2018-07-22,<1,<1,<1,4
2018-07-29,0,<1,<1,5
2018-08-05,<1,<1,<1,6
2018-08-12,<1,<1,<1,8
2018-08-19,0,<1,<1,10
2018-08-26,0,<1,<1,19
2018-09-02,<1,<1,<1,25
2018-09-09,<1,<1,<1,22
2018-09-16,<1,<1,<1,21
2018-09-23,<1,<1,<1,19
2018-09-30,<1,<1,<1,20
2018-10-07,<1,<1,<1,18
2018-10-14,<1,<1,<1,17
2018-10-21,0,<1,<1,17
2018-10-28,0,<1,<1,18
2018-11-04,<1,<1,<1,17
2018-11-11,<1,<1,<1,16
2018-11-18,0,<1,<1,20
2018-11-25,0,<1,<1,14
2018-12-02,0,<1,<1,12
2018-12-09,<1,<1,<1,7
2018-12-16,<1,<1,<1,8
2018-12-23,<1,<1,<1,10
2018-12-30,<1,<1,<1,12
2019-01-06,<1,<1,<1,8
2019-01-13,<1,<1,<1,5
2019-01-20,<1,<1,<1,4
2019-01-27,<1,<1,<1,3
2019-02-03,<1,<1,<1,4
2019-02-10,<1,<1,<1,3
2019-02-17,<1,<1,<1,2
2019-02-24,<1,<1,<1,2
2019-03-03,<1,<1,<1,2
2019-03-10,<1,<1,<1,2
2019-03-17,<1,<1,<1,2
2019-03-24,<1,<1,<1,2
2019-03-31,<1,<1,<1,2
2019-04-07,<1,<1,<1,2
2019-04-14,<1,<1,<1,2
2019-04-21,<1,<1,<1,2
2019-04-28,<1,<1,<1,2
2019-05-05,<1,<1,<1,2
2019-05-12,<1,<1,<1,2
2019-05-19,<1,<1,<1,2
2019-05-26,0,<1,<1,2
2019-06-02,<1,<1,<1,2
2019-06-09,<1,<1,<1,2
2019-06-16,<1,<1,<1,2
2019-06-23,<1,<1,<1,3
2019-06-30,<1,<1,<1,2
2019-07-07,<1,<1,<1,3
2019-07-14,<1,<1,<1,3
2019-07-21,<1,<1,<1,4
2019-07-28,<1,<1,<1,5
2019-08-04,<1,<1,<1,6
2019-08-11,<1,<1,<1,7
2019-08-18,<1,<1,<1,10
2019-08-25,<1,<1,<1,19
2019-09-01,<1,<1,<1,24
2019-09-08,<1,<1,<1,23
2019-09-15,<1,<1,<1,20
2019-09-22,<1,<1,<1,19
2019-09-29,<1,<1,<1,18
2019-10-06,<1,<1,<1,18
2019-10-13,0,<1,<1,18
2019-10-20,<1,<1,<1,17
2019-10-27,<1,<1,<1,16
2019-11-03,0,<1,<1,18
2019-11-10,<1,<1,<1,17
2019-11-17,<1,<1,<1,16
2019-11-24,0,<1,<1,18
2019-12-01,0,<1,<1,14
2019-12-08,<1,<1,<1,11
2019-12-15,<1,<1,<1,8
2019-12-22,0,<1,<1,11
2019-12-29,0,<1,<1,13
2020-01-05,<1,<1,<1,6
2020-01-12,0,<1,<1,8
2020-01-19,<1,1,5,4
2020-01-26,<1,3,13,3
2020-02-02,<1,2,8,4
2020-02-09,<1,2,6,2
2020-02-16,<1,1,4,2
2020-02-23,1,4,17,2
2020-03-01,2,8,30,2
2020-03-08,7,19,75,2
2020-03-15,19,26,100,1
2020-03-22,23,18,77,2
2020-03-29,24,13,62,2
2020-04-05,21,9,62,2
2020-04-12,17,6,47,2
